run,type,slice,n,cos,nmse
parabola_s42_af_fr_zs_a100,步长,h=28,100,0.2126,160478912.0
uniform_motion_s1234_af_fr,分区,ID,406,0.91,0.1559
uniform_motion_s1234_af_fr,分区,r/m-OOD,464,0.802,0.4474
uniform_motion_s1234_af_fr,分区,v-OOD,841,0.5669,0.7484
uniform_motion_s1234_af_fr,分区,both-OOD,1189,0.6275,0.7463
uniform_motion_s1234_af_fr,步长,h=1,100,0.9946,0.0128
uniform_motion_s1234_af_fr,步长,h=2,100,0.9898,0.0239
uniform_motion_s1234_af_fr,步长,h=4,100,0.9788,0.0493
uniform_motion_s1234_af_fr,步长,h=8,100,0.9425,0.1362
uniform_motion_s1234_af_fr,步长,h=16,100,0.6806,0.656
uniform_motion_s1234_af_fr,步长,h=28,100,0.2979,1.4857
uniform_motion_s1234_af_fr_control_e5,分区,ID,406,0.9202,0.1476
uniform_motion_s1234_af_fr_control_e5,分区,r/m-OOD,464,0.797,0.4511
uniform_motion_s1234_af_fr_control_e5,分区,v-OOD,841,0.5611,0.7669
uniform_motion_s1234_af_fr_control_e5,分区,both-OOD,1189,0.621,0.7712
uniform_motion_s1234_af_fr_control_e5,步长,h=1,100,0.995,0.0118
uniform_motion_s1234_af_fr_control_e5,步长,h=2,100,0.9904,0.0222
uniform_motion_s1234_af_fr_control_e5,步长,h=4,100,0.9792,0.0478
uniform_motion_s1234_af_fr_control_e5,步长,h=8,100,0.9437,0.1332
uniform_motion_s1234_af_fr_control_e5,步长,h=16,100,0.6783,0.6554
uniform_motion_s1234_af_fr_control_e5,步长,h=28,100,0.2725,1.5799
uniform_motion_s1234_af_fr_gate_t3,分区,ID,406,0.91,0.1559
uniform_motion_s1234_af_fr_gate_t3,分区,r/m-OOD,464,0.8021,0.4468
uniform_motion_s1234_af_fr_gate_t3,分区,v-OOD,841,0.5669,0.7483
uniform_motion_s1234_af_fr_gate_t3,分区,both-OOD,1189,0.6275,0.7462
uniform_motion_s1234_af_fr_gate_t3,步长,h=1,100,0.9946,0.0128
uniform_motion_s1234_af_fr_gate_t3,步长,h=2,100,0.9898,0.0239
uniform_motion_s1234_af_fr_gate_t3,步长,h=4,100,0.9788,0.0493
uniform_motion_s1234_af_fr_gate_t3,步长,h=8,100,0.9425,0.1362
uniform_motion_s1234_af_fr_gate_t3,步长,h=16,100,0.6806,0.6556
uniform_motion_s1234_af_fr_gate_t3,步长,h=28,100,0.2978,1.486
uniform_motion_s1234_af_fr_hgate_s12,分区,ID,406,0.9224,0.1422
uniform_motion_s1234_af_fr_hgate_s12,分区,r/m-OOD,464,0.7976,0.459
uniform_motion_s1234_af_fr_hgate_s12,分区,v-OOD,841,0.5508,0.7837
uniform_motion_s1234_af_fr_hgate_s12,分区,both-OOD,1189,0.6379,0.7414
uniform_motion_s1234_af_fr_hgate_s12,步长,h=1,100,0.9946,0.0128
uniform_motion_s1234_af_fr_hgate_s12,步长,h=2,100,0.9898,0.0239
uniform_motion_s1234_af_fr_hgate_s12,步长,h=4,100,0.9788,0.0493
uniform_motion_s1234_af_fr_hgate_s12,步长,h=8,100,0.9426,0.136
uniform_motion_s1234_af_fr_hgate_s12,步长,h=16,100,0.6867,0.642
uniform_motion_s1234_af_fr_hgate_s12,步长,h=28,100,0.2669,1.6348
uniform_motion_s1234_af_fr_shadow075_e5,分区,ID,406,0.9019,0.1722
uniform_motion_s1234_af_fr_shadow075_e5,分区,r/m-OOD,464,0.7939,0.4616
uniform_motion_s1234_af_fr_shadow075_e5,分区,v-OOD,841,0.5633,0.7464
uniform_motion_s1234_af_fr_shadow075_e5,分区,both-OOD,1189,0.6233,0.7424
uniform_motion_s1234_af_fr_shadow075_e5,步长,h=1,100,0.9945,0.0129
uniform_motion_s1234_af_fr_shadow075_e5,步长,h=2,100,0.9865,0.0321
uniform_motion_s1234_af_fr_shadow075_e5,步长,h=4,100,0.9725,0.0649
uniform_motion_s1234_af_fr_shadow075_e5,步长,h=8,100,0.9356,0.1513
uniform_motion_s1234_af_fr_shadow075_e5,步长,h=16,100,0.6741,0.6534
uniform_motion_s1234_af_fr_shadow075_e5,步长,h=28,100,0.2856,1.499
uniform_motion_s1234_af_fr_shadow_a050,分区,ID,406,0.9114,0.1556
uniform_motion_s1234_af_fr_shadow_a050,分区,r/m-OOD,464,0.8033,0.4276
uniform_motion_s1234_af_fr_shadow_a050,分区,v-OOD,841,0.5707,0.7208
uniform_motion_s1234_af_fr_shadow_a050,分区,both-OOD,1189,0.638,0.7107
uniform_motion_s1234_af_fr_shadow_a050,步长,h=1,100,0.9946,0.0128
uniform_motion_s1234_af_fr_shadow_a050,步长,h=2,100,0.9893,0.0253
uniform_motion_s1234_af_fr_shadow_a050,步长,h=4,100,0.9779,0.0513
uniform_motion_s1234_af_fr_shadow_a050,步长,h=8,100,0.9413,0.1369
uniform_motion_s1234_af_fr_shadow_a050,步长,h=16,100,0.6867,0.6103
uniform_motion_s1234_af_fr_shadow_a050,步长,h=28,100,0.2996,1.4766
uniform_motion_s1234_af_fr_shadow_a065,分区,ID,406,0.9086,0.1609
uniform_motion_s1234_af_fr_shadow_a065,分区,r/m-OOD,464,0.8029,0.419
uniform_motion_s1234_af_fr_shadow_a065,分区,v-OOD,841,0.5745,0.6972
uniform_motion_s1234_af_fr_shadow_a065,分区,both-OOD,1189,0.6415,0.6849
uniform_motion_s1234_af_fr_shadow_a065,步长,h=1,100,0.9946,0.0128
uniform_motion_s1234_af_fr_shadow_a065,步长,h=2,100,0.9889,0.0263
uniform_motion_s1234_af_fr_shadow_a065,步长,h=4,100,0.977,0.0535
uniform_motion_s1234_af_fr_shadow_a065,步长,h=8,100,0.9395,0.1408
uniform_motion_s1234_af_fr_shadow_a065,步长,h=16,100,0.688,0.5906
