Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
[load] DiT-XL from /home/qlib/.stable_worldmodel/dit_xl_2_256
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
  transformer has 28 blocks; applying LoRA to last 4
  LoRA params: 0.590 M trainable / 750.4 M total (0.079%)
  using 32000 training frames, 2000 steps / epoch
  ep 4 step 749/2000 (global 8750/16000) loss=0.4371 elapsed=2268s eta=1879s
  ep 4 step 799/2000 (global 8800/16000) loss=0.4333 elapsed=2282s eta=1867s
  ep 4 step 849/2000 (global 8850/16000) loss=0.5392 elapsed=2295s eta=1854s
  ep 4 step 899/2000 (global 8900/16000) loss=0.5336 elapsed=2308s eta=1841s
  ep 4 step 949/2000 (global 8950/16000) loss=0.4066 elapsed=2321s eta=1828s
  ep 4 step 999/2000 (global 9000/16000) loss=0.5267 elapsed=2334s eta=1815s
  ep 4 step 1049/2000 (global 9050/16000) loss=0.5772 elapsed=2347s eta=1802s
  ep 4 step 1099/2000 (global 9100/16000) loss=0.3577 elapsed=2360s eta=1789s
  ep 4 step 1149/2000 (global 9150/16000) loss=0.3245 elapsed=2372s eta=1776s
  ep 4 step 1199/2000 (global 9200/16000) loss=0.5811 elapsed=2385s eta=1763s
  ep 4 step 1249/2000 (global 9250/16000) loss=0.3971 elapsed=2398s eta=1750s
  ep 4 step 1299/2000 (global 9300/16000) loss=0.3227 elapsed=2411s eta=1737s
  ep 4 step 1349/2000 (global 9350/16000) loss=0.4404 elapsed=2424s eta=1724s
  ep 4 step 1399/2000 (global 9400/16000) loss=0.5427 elapsed=2437s eta=1711s
  ep 4 step 1449/2000 (global 9450/16000) loss=0.5005 elapsed=2450s eta=1698s
  ep 4 step 1499/2000 (global 9500/16000) loss=0.4543 elapsed=2463s eta=1685s
  ep 4 step 1549/2000 (global 9550/16000) loss=0.3805 elapsed=2476s eta=1672s
  ep 4 step 1599/2000 (global 9600/16000) loss=0.6326 elapsed=2488s eta=1659s
  ep 4 step 1649/2000 (global 9650/16000) loss=0.4278 elapsed=2501s eta=1646s
  ep 4 step 1699/2000 (global 9700/16000) loss=0.4737 elapsed=2514s eta=1633s
  ep 4 step 1749/2000 (global 9750/16000) loss=0.4495 elapsed=2527s eta=1620s
  ep 4 step 1799/2000 (global 9800/16000) loss=0.3832 elapsed=2540s eta=1607s
  ep 4 step 1849/2000 (global 9850/16000) loss=0.5256 elapsed=2553s eta=1594s
  ep 4 step 1899/2000 (global 9900/16000) loss=0.4340 elapsed=2566s eta=1581s
  ep 4 step 1949/2000 (global 9950/16000) loss=0.5415 elapsed=2579s eta=1568s
  ep 4 step 1999/2000 (global 10000/16000) loss=0.4427 elapsed=2593s eta=1556s
  ep 5 step 0/2000 (global 10001/16000) loss=0.5087 elapsed=2593s eta=1556s
  ep 5 step 49/2000 (global 10050/16000) loss=0.6386 elapsed=2606s eta=1543s
  ep 5 step 99/2000 (global 10100/16000) loss=0.4480 elapsed=2619s eta=1530s
  ep 5 step 149/2000 (global 10150/16000) loss=0.5550 elapsed=2632s eta=1517s
  ep 5 step 199/2000 (global 10200/16000) loss=0.4975 elapsed=2644s eta=1504s
  ep 5 step 249/2000 (global 10250/16000) loss=0.4650 elapsed=2657s eta=1491s
  ep 5 step 299/2000 (global 10300/16000) loss=0.5926 elapsed=2671s eta=1478s
  ep 5 step 349/2000 (global 10350/16000) loss=0.5606 elapsed=2684s eta=1465s
  ep 5 step 399/2000 (global 10400/16000) loss=0.5913 elapsed=2697s eta=1452s
  ep 5 step 449/2000 (global 10450/16000) loss=0.6661 elapsed=2710s eta=1439s
